Date,FTAS,FTLC,FTMC,FTSE,NDX,SP500,STOXX50E,STOXXE
1983-01-03,,,,,,138.34,,
1983-01-04,383.25,,,,,141.35,,
1983-01-05,390.1,,,,,141.96,,
1983-01-06,392.24,,,,,145.27,,
1983-01-07,396.42,,,,,145.18,,
1983-01-10,393.64,,,,,146.78,,
1983-01-11,387.37,,,,,145.78,,
1983-01-12,383.41,,,,,146.69,,
1983-01-13,386.9,,,,,145.72,,
1983-01-14,391.41,,,,,146.65,,
1983-01-17,395.82,,,,,146.71,,
1983-01-18,392.79,,,,,146.4,,
1983-01-19,395.07,,,,,145.27,,
1983-01-20,398.27,,,,,146.29,,
1983-01-21,396.59,,,,,143.85,,
1983-01-24,387.41,,,,,139.97,,
1983-01-25,389.3,,,,,141.75,,
1983-01-26,390.0,,,,,141.54,,
1983-01-27,389.1,,,,,144.27,,
1983-01-28,393.44,,,,,144.51,,
1983-01-31,395.02,,,,,145.3,,
1983-02-01,396.17,,,,,142.96,,
1983-02-02,397.61,,,,,143.23,,
1983-02-03,403.02,,,,,144.26,,
1983-02-04,402.34,,,,,146.14,,
1983-02-07,401.8,,,,,146.93,,
1983-02-08,404.85,,,,,145.7,,
1983-02-09,408.19,,,,,145.0,,
1983-02-10,408.78,,,,,147.5,,
1983-02-11,413.08,,,,,147.63,,
1983-02-14,412.06,,,,,148.92,,
1983-02-15,412.91,,,,,148.3,,
1983-02-16,409.89,,,,,147.43,,
1983-02-17,406.37,,,,,147.44,,
1983-02-18,406.53,,,,,148.0,,
1983-02-21,405.33,,,,,148.0,,
1983-02-22,404.35,,,,,145.48,,
1983-02-23,400.92,,,,,146.79,,
1983-02-24,400.96,,,,,149.6,,
1983-02-25,401.27,,,,,149.74,,
1983-02-28,399.35,,,,,148.06,,
1983-03-01,402.31,,,,,150.88,,
1983-03-02,406.08,,,,,152.3,,
1983-03-03,410.21,,,,,153.48,,
1983-03-04,410.02,,,,,153.67,,
1983-03-07,413.75,,,,,153.67,,
1983-03-08,413.47,,,,,151.26,,
1983-03-09,413.62,,,,,152.87,,
1983-03-10,419.75,,,,,151.8,,
1983-03-11,416.47,,,,,151.24,,
1983-03-14,417.41,,,,,150.83,,
1983-03-15,421.13,,,,,151.36,,
1983-03-16,418.99,,,,,149.8,,
1983-03-17,414.18,,,,,149.59,,
1983-03-18,413.33,,,,,149.9,,
1983-03-21,406.81,,,,,151.19,,
1983-03-22,411.46,,,,,150.66,,
1983-03-23,410.29,,,,,152.81,,
1983-03-24,411.2,,,,,153.37,,
1983-03-25,413.71,,,,,152.67,,
1983-03-28,413.13,,,,,151.85,,
1983-03-29,410.11,,,,,151.59,,
1983-03-30,407.64,,,,,153.39,,
1983-03-31,411.94,,,,,152.96,,
1983-04-04,411.94,,,,,153.02,,
1983-04-05,412.09,,,,,151.89,,
1983-04-06,415.96,,,,,151.04,,
1983-04-07,421.64,,,,,151.76,,
1983-04-08,423.01,,,,,152.85,,
1983-04-11,428.22,,,,,155.14,,
1983-04-12,433.66,,,,,155.82,,
1983-04-13,433.02,,,,,156.77,,
1983-04-14,435.7,,,,,158.11,,
1983-04-15,435.7,,,,,158.75,,
1983-04-18,441.52,,,,,159.74,,
1983-04-19,437.46,,,,,158.71,,
1983-04-20,433.71,,,,,160.71,,
1983-04-21,439.0,,,,,160.05,,
1983-04-22,436.04,,,,,160.42,,
1983-04-25,439.16,,,,,158.81,,
1983-04-26,439.54,,,,,161.81,,
1983-04-27,441.51,,,,,161.44,,
1983-04-28,441.08,,,,,162.95,,
1983-04-29,439.29,,,,,164.42,,
1983-05-02,439.29,,,,,162.11,,
1983-05-03,436.85,,,,,162.34,,
1983-05-04,433.32,,,,,163.31,,
1983-05-05,430.88,,,,,164.28,,
1983-05-06,429.11,,,,,166.1,,
1983-05-09,427.88,,,,,165.81,,
1983-05-10,420.9,,,,,165.95,,
1983-05-11,419.34,,,,,164.96,,
1983-05-12,417.74,,,,,164.25,,
1983-05-13,417.91,,,,,164.9,,
